date,title,comment,category,article_url
2024-11-21 13:50:34,"شركة أمريكية تقدم خدمات ""أنظمة تخطيط مهام"" للقوات المسلحة المغربية",المغرب المغاربة اليوم أقوى من اي وقت مضى بالجميع المقاييس بمختلف المجالات على رأسها المجال العسكري بالقيادة ملكنا المفدى أعزه الله و نصره و أدام عليه الصحة و السلامة و العز و النصر و التمكين و الأفراح و المسرات و التوفيق و التفوق باستمرار أينما حل و ارتحل الراءد بالجميع المقاييس في خدمة المغرب المغاربة بشتى المجالات بوضوح و طموح لا محدود دون ملل او كلل و نكران الذات عالم اتضح جليا بالصورة الواضحة المعالم قوة دول تقاس بالمدى قوة الاقتصاد و الجيش لا مكان فيه لضعفاء .,politique,https://www.hespress.com/%d8%b4%d8%b1%d9%83%d8%a9-%d8%a3%d9%85%d8%b1%d9%8a%d9%83%d9%8a%d8%a9-%d8%aa%d9%82%d8%af%d9%85-%d8%ae%d8%af%d9%85%d8%a7%d8%aa-%d8%a3%d9%86%d8%b8%d9%85%d8%a9-%d8%aa%d8%ae%d8%b7%d9%8a%d8%b7-%d9%85%d9%87-1468300.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",يجب على المغرب استغلال فرصة ترأسه لمجلس حقوق الانسان لإبراز البشاعة التي يعيشها ٱخواننا في مخيمات تندوف والضغط على الجزائر لإحصائهم والتنديد بتجنيد الأطفال ،(ياك الجزائر حاولت توسيع صلاحيات المينورسو في الصحراء ؟) علاش المغرب مايجري يمينا و شمالا من اجل إظهار تورط الجزائر في مايعيشه محتجزي مخيمات العار بالرابوني ؟!!!!,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",فرصة ثمينة لطرح ملف المحتجزين في مخيمات الذل والعار على طاولة المناقشة ولم لا الخروج بوثيقة تنص على معاقبة كل من ساهم في احتجازهم  ..,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",لنكون واقعيين ،مكاين لا حقوق الإنسان والحيوان والبغال ولهم يحزنون، مايوجد هو قوة الغاب والمصالح والقوة وما تقوم به اسرائيل لأكبر دليل على ذالك على مر التاريخ ،وخزعبلات او قناع عقوق الانسان تستعمل فقط لبتزاز دول العالم الاخر في سيادتهم وقراراتهم و خيراتهم لا أقل ولا أكثر؟!,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",هذه الثقة والتشريف  لا ياتيان من فراغ  …نحن اليوم نفتخر بانتمائنا للملكتنا الشريفة ولا حزاء للحاقدين والخونة .,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",تغيير القانون الجنائي من خلال ضمان الحريات الفردية خصوصا حرية المعتقد وحرية الجسد هو الخطوة الأولى لابناء حسن نية الدولة المغربية في مجال الالتزام بالمواثيق  الدولية.,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي","شر البلية ما يضحك …
صلاة الغائب على حقوق الانسان يا اخوان.",politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",وماذا ستقولون عن الاعتداء الذي لحق بالصحفي المهداوي والذي يعتقد العديد من الاخصائيين في القانون ان اعنداء ارجع المغرب حقوقيا لمئات السنين للوراء !؟,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",لي كيستاظف خلوة حقوق الإنسان ولي كيترأس حقوق الإنسان هما الدول لي عندهم حقوق الإنسان ولا وقيلة المغرب عندو جوج انواع ديال المواطنين النوع الاول هو لي كيطبق عليهم حقوق الإنسان فين هد حقوق الإنسان لا قراية لا خدمة السعاية الناس كتمرض كتدوا العشوب الناس شي كيقري خصوصي شي فالمدارس ديال فرنسا شي العمومي الناس مزال المدن الكبار عايشين من طارو بلا ما يجي شي واحد انافق المغرب كيتصنطح بزاف فشي حوايج بحال حنا عيشين فشي عالم اخور مشي فالمغرب حنا بعاد بزاف علئ حقوق الإنسان هدو دوافع سياسية باش عطونا نترأسو هد المجلس ولا الحكومة كتكدب عليهم,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
2024-11-21 13:50:36,"في ""سابقة تاريخية"" .. المغرب يستضيف خلوة مجلس حقوق الإنسان الأممي",و حتى لا ينسى المجلس حقوق الانسان المقرر هنا بالمملكة  مطالبين بإلحاح  تمرير اجندة ما يقع داخل مخيمات الحمادة من قمع و زجر و اضطهاد المحتجزين المغاربة!!  و ذلك من اجل فضح النظام العسكري للجارة و عقليته الرجعية في خرق سافل لحقوق الانسان في تندوف و في الجزائر ككل..,politique,https://www.hespress.com/%d9%81%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%8a%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d8%ae%d9%84%d9%88%d8%a9-%d9%85-1468124.html
